Nº/Série;Data de Emissão;CNPJ Emitente;Emitente;CNPJ Destinatário;Destinatário;Categoria;Subcategoria;Produto;Unid. Medida;Quantidade;Valor Unitário;Valor Total
2050/001;16/12/2022;34.731.357/0001-61;COSTA & OLIVEIRA HIPERMERCADO VAREJISTA EIRELI;14.191.194/0001-64;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE TRACUNHAEM;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL 70, CX C/ 12 UND;CX;12.00;118.98;1,427.76
2049/001;16/12/2022;34.731.357/0001-61;COSTA & OLIVEIRA HIPERMERCADO VAREJISTA EIRELI;10.167.310/0001-59;MUNICIPIO DE TRACUNHAEM;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL 70, CX C/ 12 UND;CX;2.00;118.98;237.96
2048/001;16/12/2022;34.731.357/0001-61;COSTA & OLIVEIRA HIPERMERCADO VAREJISTA EIRELI;10.167.310/0001-59;MUNICIPIO DE TRACUNHAEM;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL 70, CX C/ 12 UND;CX;10.00;118.98;1,189.80
125/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;5.00;71.99;359.95
124/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;2.00;71.99;143.98
122/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;8.00;71.99;575.92
120/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;10.00;71.99;719.90
119/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;3.00;71.99;215.97
118/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;30.586.637/0001-72;SECRETARIA MUNICIPAL DE EDUCACAO;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;10.00;71.99;719.90
101/001;21/12/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;5.00;71.99;359.95
92/001;02/12/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;5.00;71.99;359.95
90/001;02/12/2022;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;12.00;71.99;863.88
89/001;02/12/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;25.00;71.99;1,799.75
88/001;02/12/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;15.00;71.99;1,079.85
87/001;02/12/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;25.00;71.99;1,799.75
86/001;01/12/2022;44.990.373/0001-22;GT COMERCIO;30.586.637/0001-72;SECRETARIA MUNICIPAL DE EDUCACAO;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;38.00;71.99;2,735.62
84/001;16/11/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;10.00;71.99;719.90
70/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;16.00;71.99;1,151.84
69/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;10.00;71.99;719.90
68/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;3.00;71.99;215.97
67/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;10.00;71.99;719.90
66/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;2.00;71.99;143.98
65/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;4.00;71.99;287.96
64/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;30.586.637/0001-72;SECRETARIA MUNICIPAL DE EDUCACAO;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;40.00;71.99;2,879.60
62/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;10.00;71.99;719.90
49/001;23/09/2022;44.990.373/0001-22;GT COMERCIO;30.586.637/0001-72;SECRETARIA MUNICIPAL DE EDUCACAO;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;40.00;71.99;2,879.60
47/001;23/09/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;4.00;71.99;287.96
46/001;23/09/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;2.00;71.99;143.98
45/001;23/09/2022;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;10.00;71.99;719.90
44/001;23/09/2022;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;3.00;71.99;215.97
43/001;22/09/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;10.00;71.99;719.90
42/001;22/09/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;16.00;71.99;1,151.84
41/001;22/09/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL LIQUIDO 70%;CX;10.00;71.99;719.90
3599/001;02/02/2023;08.983.268/0001-00;MULTIUTIL LTDA;10.565.000/0001-92;PREFEITURA DA CIDADE DO RECIFE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;5.00;64.90;324.50
3519/001;12/12/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;6.00;64.90;389.40
3518/001;09/12/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;6.00;64.90;389.40
3501/001;18/11/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;2.00;64.90;129.80
3484/001;27/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;4.00;64.90;259.60
3460/001;21/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.565.000/0001-92;PREFEITURA DA CIDADE DO RECIFE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;6.00;64.90;389.40
3454/001;14/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.565.000/0001-92;PREFEITURA DA CIDADE DO RECIFE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;2.00;64.90;129.80
3453/001;24/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;4.00;64.90;259.60
3450/001;18/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;5.00;64.90;324.50
3444/001;20/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.565.000/0001-92;PREFEITURA DA CIDADE DO RECIFE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;6.00;64.90;389.40
3432/001;20/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;4.00;64.90;259.60
3428/001;20/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;4.00;64.90;259.60
3418/001;05/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.565.000/0001-92;PREFEITURA DA CIDADE DO RECIFE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;2.00;64.90;129.80
3417/001;05/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;1.00;64.90;64.90
3416/001;05/10/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;4.00;64.90;259.60
3410/001;27/09/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;2.00;64.90;129.80
3407/001;27/09/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.565.000/0001-92;PREFEITURA DA CIDADE DO RECIFE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;2.00;64.90;129.80
3397/001;26/09/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.404.184/0001-09;PREFEITURA MUNICIPIO DE OLINDA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;2.00;64.90;129.80
3393/001;23/09/2022;08.983.268/0001-00;MULTIUTIL LTDA;10.565.000/0001-92;PREFEITURA DA CIDADE DO RECIFE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL LIQUIDO 70% BENZOQUIMIC SEPT 5LTS;UND;2.00;64.90;129.80
1986/001;01/12/2022;34.731.357/0001-61;COSTA & OLIVEIRA HIPERMERCADO VAREJISTA EIRELI;09.159.378/0001-07;FUNDO MUNICIPAL DE SAUDE DO BREJO DA MADRE DE DEUS;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL 70, CX C/ 12 UND;CX;70.00;57.30;4,011.00
74/001;11/10/2022;44.990.373/0001-22;GT COMERCIO;10.710.822/0001-10;GRAVATA FUNDO MUNICIPAL DE SAUDE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL EM GEL 500 ML;CX;50.00;56.77;2,838.50
39/001;20/09/2022;44.990.373/0001-22;GT COMERCIO;10.710.822/0001-10;GRAVATA FUNDO MUNICIPAL DE SAUDE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL EM GEL 500 ML;CX;100.00;56.77;5,677.00
125/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL EM GEL 500 ML;CX;25.00;55.68;1,392.00
124/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL EM GEL 500 ML;CX;2.00;55.68;111.36
122/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL EM GEL 500 ML;CX;5.00;55.68;278.40
120/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL EM GEL 500 ML;CX;5.00;55.68;278.40
119/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL EM GEL 500 ML;CX;4.00;55.68;222.72
118/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;30.586.637/0001-72;SECRETARIA MUNICIPAL DE EDUCACAO;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL EM GEL 500 ML;CX;20.00;55.68;1,113.60
117/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS;38089429 - OUTS.DESINFETANTES,Ñ APRES.VENDA RETALHO;ALCOOL EM GEL 500 ML;CX;20.00;55.68;1,113.60
